lambda qy1(n0) qy2(n0) qy3(n0) qy1(0) qy2(0) qy3(0)  x
256.41  0.000  0.000  0.000  1.000  0.000  0.000    0.000
259.74  0.298  0.403  0.000  0.597  0.403  0.000    1.001
263.16  0.349  0.386  0.000  0.614  0.386  0.000    0.757
266.67  0.378  0.333  0.000  0.667  0.333  0.000    0.766
270.27  0.430  0.255  0.000  0.745  0.255  0.000    0.732
273.97  0.502  0.157  0.000  0.843  0.157  0.000    0.680
277.78  0.566  0.065  0.000  0.935  0.065  0.000    0.651
281.69  0.561  0.035  0.000  0.965  0.035  0.000    0.718
285.71  0.541  0.019  0.000  0.981  0.019  0.000    0.813
289.86  0.510  0.006  0.000  0.994  0.006  0.000    0.948
294.12  0.467  0.000  0.000  1.000  0.000  0.000    1.141
298.50  0.423  0.000  0.000  1.000  0.000  0.000    1.362
302.50  0.394  0.000  0.000  1.000  0.000  0.000    1.538
303.50  0.382  0.000  0.000  1.000  0.000  0.000    1.618
304.50  0.370  0.000  0.000  1.000  0.000  0.000    1.706
305.50  0.354  0.000  0.000  1.000  0.000  0.000    1.825
306.50  0.338  0.000  0.000  1.000  0.000  0.000    1.959
307.50  0.322  0.000  0.000  1.000  0.000  0.000    2.106
308.50  0.306  0.000  0.000  1.000  0.000  0.000    2.268
309.50  0.289  0.000  0.000  1.000  0.000  0.000    2.460
310.50  0.266  0.000  0.000  1.000  0.000  0.000    2.759
311.50  0.242  0.000  0.000  1.000  0.000  0.000    3.132
312.50  0.218  0.000  0.000  1.000  0.000  0.000    3.587
313.50  0.194  0.000  0.000  1.000  0.000  0.000    4.155
314.50  0.156  0.000  0.000  1.000  0.000  0.000    5.393
317.50  0.101  0.000  0.000  1.000  0.000  0.000    8.877
322.50  0.043  0.000  0.000  1.000  0.000  0.000   22.529
327.50  0.005  0.000  0.000  1.000  0.000  0.000  199.000
332.50  0.000  0.000  0.000  1.000  0.000  0.000    0.000
